ID,Category_ID,Room_status_ID
101,8,19
102,6,18
103,6,25
104,8,20
105,3,7
106,2,8
107,1,22
108,4,15
109,1,17
110,2,11
201,3,12
202,1,2
203,2,7
204,5,15
205,7,9
206,3,4
207,4,4
208,2,17
209,3,6
210,2,4
301,9,25
302,2,15
303,3,17
304,3,4
305,4,15
306,9,21
307,2,15
308,4,2
309,6,4
310,1,10
401,6,19
402,7,4
403,7,19
404,7,20
405,4,15
406,4,7
407,8,23
408,3,3
409,9,25
410,4,22
501,5,4
502,5,25
503,8,14
504,2,17
505,1,18
506,3,1
507,6,9
508,8,4
509,8,11
510,4,22
601,3,17
602,7,18
603,9,19
604,7,18
605,2,14
606,5,2
607,5,8
608,2,12
609,9,1
610,5,17
701,2,22
702,8,19
703,2,12
704,2,13
705,7,8
706,9,10
707,5,19
708,2,17
709,5,13
710,2,19
801,2,5
802,6,17
803,3,9
804,9,24
805,6,14
806,6,14
807,2,3
808,4,22
809,4,1
810,6,19
901,1,20
902,6,25
903,6,4
904,3,16
905,8,2
906,5,23
907,5,12
908,9,7
909,7,20
910,8,6
